,size,filename,nodes_before_prune,edges_before_prune,time_before_prune,nodes_after_prune,edges_after_prune,time_after_prune
159,21,6.BIFXML,21,98,1.3648974230018212,20,74,0.6546664210036397
160,30,3.BIFXML,30,204,193.1784131070017,27,128,15.409788381002727
161,30,1.BIFXML,30,236,190.97001860001183,26,148,9.371287988993572
162,30,9.BIFXML,30,232,167.8732221120008,27,138,15.20782827300718
163,30,5.BIFXML,30,206,159.10064545100613,26,122,7.116979215003084
164,30,7.BIFXML,30,220,173.78296304898686,27,147,16.091190261009615
165,30,2.BIFXML,30,214,157.42960861999018,26,100,6.771647974994266
166,30,0.BIFXML,30,218,156.876964014009,26,108,6.853102934997878
167,30,8.BIFXML,30,220,161.1175251609966,29,162,66.86015407500963
168,30,4.BIFXML,30,224,176.1340115119965,29,180,77.25779964300455
169,30,6.BIFXML,30,202,158.61361229300383,29,142,66.19500187400263
170,24,3.BIFXML,24,149,11.955266323988326,24,125,7.678348672998254
171,24,1.BIFXML,24,138,8.31577694999578,24,125,7.519110451001325
172,24,9.BIFXML,24,142,8.097624565009028,21,97,1.192800045988406
173,24,5.BIFXML,24,128,8.470959046011558,24,115,7.880355225002859
174,24,7.BIFXML,24,135,8.026029783999547,24,129,7.563988361012889
175,24,2.BIFXML,24,132,9.351103769004112,22,92,2.3280333100119606
176,24,0.BIFXML,24,150,11.333124773998861,22,110,2.5170354020083323
177,24,8.BIFXML,24,138,7.895931710008881,22,89,1.7340009079925949
178,24,4.BIFXML,24,148,10.319033780004247,21,83,1.0144022310123546
179,24,6.BIFXML,24,136,7.567838561008102,23,91,3.115469012001995
180,23,3.BIFXML,23,129,3.9135543620068347,19,79,0.4725367500068387
181,23,1.BIFXML,23,135,6.0155573500087485,23,119,4.10119749099249
182,23,9.BIFXML,23,144,5.5331363570003305,21,101,1.2951860440080054
183,23,5.BIFXML,23,121,4.249011463005445,23,97,3.5502886670001317
184,23,7.BIFXML,23,140,6.327356529989629,22,104,2.0151676230016164
185,23,2.BIFXML,23,131,5.690266232006252,23,100,3.530723764997674
186,23,0.BIFXML,23,121,5.503014298999915,22,86,1.8941102730022976
187,23,8.BIFXML,23,110,3.9491700479993597,22,77,1.6617539799917722
188,23,4.BIFXML,23,120,3.9483482579962583,19,73,0.4142722300020978
189,23,6.BIFXML,23,128,4.668295527008013,23,94,3.280865906010149
190,4,3.BIFXML,4,1,0.02695154600951355,2,0,0.007638050999958068
191,4,1.BIFXML,4,3,0.024241045000962913,3,1,0.015776139000081457
192,4,9.BIFXML,4,2,0.026623641009791754,2,0,0.007900316995801404
193,4,5.BIFXML,4,2,0.024395487998845056,3,2,0.013967934006359428
194,4,7.BIFXML,4,3,0.02634505399328191,4,3,0.021392810987890698
195,4,2.BIFXML,4,5,0.023194431996671483,3,2,0.012863825002568774
196,4,0.BIFXML,4,4,0.023612421995494515,4,4,0.022124925002572127
197,4,8.BIFXML,4,4,0.021502100993529893,4,4,0.020708758995169774
198,4,4.BIFXML,4,2,0.022772462005377747,3,2,0.012727872002869844
199,4,6.BIFXML,4,2,0.02175326099677477,4,2,0.021385617001214996
200,15,3.BIFXML,15,52,0.18462489600642584,13,30,0.10273429300286807
201,15,1.BIFXML,15,58,0.1908443619904574,13,35,0.11208284100575838
202,15,9.BIFXML,15,53,0.17202693600847851,13,36,0.11543261499900836
203,15,5.BIFXML,15,54,0.16783254699839745,12,31,0.09201584200491197
204,15,7.BIFXML,15,60,0.19098395499167964,14,36,0.12512432600487955
205,15,2.BIFXML,15,57,0.18553070600319188,15,51,0.1936334909987636
206,15,0.BIFXML,15,53,0.1640053809969686,12,32,0.09309654000389855
207,15,8.BIFXML,15,44,0.16253496499848552,13,33,0.10999613499734551
208,15,4.BIFXML,15,47,0.16239233200030867,15,40,0.14580631100398023
209,15,6.BIFXML,15,60,0.18578652699943632,15,49,0.1524778629973298
210,3,3.BIFXML,3,2,0.01862307400733698,2,0,0.0076674509909935296
211,3,1.BIFXML,3,2,0.014116182006546296,2,0,0.008658627994009294
212,3,9.BIFXML,3,1,0.015875954006332904,2,0,0.008254025000496767
213,3,5.BIFXML,3,1,0.018200770995463245,2,1,0.008806642988929525
214,3,7.BIFXML,3,1,0.015673828005674295,3,1,0.0161199510039296
215,3,2.BIFXML,3,0,0.017243385998881422,2,0,0.009087283004191704
216,3,0.BIFXML,3,1,0.015444281001691706,2,0,0.008313958009239286
217,3,8.BIFXML,3,2,0.014123209999524988,2,0,0.0090316979913041
218,3,4.BIFXML,3,1,0.017992346998653375,2,0,0.007682379990001209
219,3,6.BIFXML,3,1,0.018553492991486564,3,1,0.015920368998195045
220,12,3.BIFXML,12,35,0.10987629198643845,9,15,0.06363022699952126
221,12,1.BIFXML,12,33,0.10237269999925047,9,19,0.06371999600378331
222,12,9.BIFXML,12,34,0.11566113099979702,11,27,0.0860936780081829
223,12,5.BIFXML,12,37,0.11063680400548037,8,16,0.0519520499947248
224,12,7.BIFXML,12,37,0.11515290699026082,8,11,0.050196960000903346
225,12,2.BIFXML,12,33,0.10667624800407793,12,32,0.10013543500099331
226,12,0.BIFXML,12,22,0.09595930599607527,11,12,0.08058382099261507
227,12,8.BIFXML,12,33,0.10705052399134729,11,24,0.08486634399741888
228,12,4.BIFXML,12,36,0.10657517000799999,11,19,0.07968642000923865
229,12,6.BIFXML,12,29,0.10160200599057134,11,20,0.0808230900001945
230,13,3.BIFXML,13,41,0.12758993500028737,12,31,0.09635020200221334
231,13,1.BIFXML,13,31,0.11061139000230469,11,19,0.07731411900022067
232,13,9.BIFXML,13,43,0.141990503994748,11,23,0.08068067200656515
233,13,5.BIFXML,13,35,0.12037311900348868,8,9,0.06524272699607536
234,13,7.BIFXML,13,41,0.13329230499221012,12,33,0.10001124400878325
235,13,2.BIFXML,13,37,0.12228801700985059,12,27,0.09323537700402085
236,13,0.BIFXML,13,33,0.1216044629982207,8,12,0.04820845300855581
237,13,8.BIFXML,13,40,0.12849186899256893,12,34,0.10411664099956397
238,13,4.BIFXML,13,34,0.12825763899309095,11,20,0.07697073399322107
239,13,6.BIFXML,13,34,0.12319156900048256,12,27,0.09394330099166837
240,5,3.BIFXML,5,5,0.034433711000019684,3,1,0.013809466996463016
241,5,1.BIFXML,5,4,0.03149752700119279,2,0,0.008170445988071151
242,5,9.BIFXML,5,3,0.033674043996143155,4,2,0.02119025400315877
243,5,5.BIFXML,5,4,0.028607746004126966,3,2,0.014563889999408275
244,5,7.BIFXML,5,7,0.032401611999375746,2,0,0.00791175800259225
245,5,2.BIFXML,5,7,0.031482210993999615,2,0,0.007682003008085303
246,5,0.BIFXML,5,4,0.03150383901083842,3,1,0.013758847999270074
247,5,8.BIFXML,5,6,0.03126993001205847,3,1,0.013791965000564232
248,5,4.BIFXML,5,4,0.031692374002886936,4,2,0.021207291007158346
249,5,6.BIFXML,5,6,0.030858939993777312,5,5,0.027771747001679614
250,14,3.BIFXML,14,49,0.15545287200075109,11,31,0.08576616299978923
251,14,1.BIFXML,14,41,0.14277563100040425,13,32,0.11018976299965288
252,14,9.BIFXML,14,49,0.15120525000384077,13,36,0.1130581670004176
253,14,5.BIFXML,14,51,0.1590731100004632,13,42,0.11989175000053365
254,14,7.BIFXML,14,33,0.1302479269943433,13,26,0.10404458000266459
255,14,2.BIFXML,14,48,0.16809921099047642,14,42,0.1464509989891667
256,14,0.BIFXML,14,38,0.14492741799040232,10,12,0.06789326400030404
257,14,8.BIFXML,14,44,0.17873417399823666,13,35,0.1284606690023793
258,14,4.BIFXML,14,33,0.13541157299187034,12,18,0.09178501399583183
259,14,6.BIFXML,14,53,0.19035848199564498,12,32,0.09758631698787212
260,22,3.BIFXML,22,109,2.4122112699988065,22,92,1.8161092780064791
261,22,1.BIFXML,22,109,2.364868620003108,20,68,0.5599025179981254
262,22,9.BIFXML,22,114,3.8649895770067815,18,64,0.25947108599939384
263,22,5.BIFXML,22,117,2.2300619080051547,21,97,1.1596445159957511
264,22,7.BIFXML,22,123,3.0329061559896218,14,32,0.11612555501051247
265,22,2.BIFXML,22,125,2.2566319510078756,20,78,0.6826153989968589
266,22,0.BIFXML,22,113,2.4387285109987715,22,81,1.9371055950032314
267,22,8.BIFXML,22,132,2.488963951007463,21,94,1.0797116110043135
268,22,4.BIFXML,22,106,3.2627473669999745,19,66,0.6405518379906425
269,22,6.BIFXML,22,97,2.0251690489967586,21,77,1.0706602569989627
270,25,3.BIFXML,25,153,9.093909694987815,22,98,1.0920579259982333
271,25,1.BIFXML,25,166,16.038498312002048,24,118,4.72803913000098
272,25,9.BIFXML,25,151,9.597182417011936,24,105,3.701578852997045
273,25,5.BIFXML,25,163,8.923727778004832,25,132,7.728612171995337
274,25,7.BIFXML,25,146,8.24254219699651,22,92,1.1644181559968274
275,25,2.BIFXML,25,152,10.234121650006273,23,100,2.5368209660082357
276,25,0.BIFXML,25,153,11.09676891900017,25,120,7.323964833994978
277,25,8.BIFXML,25,148,8.066318425990175,22,94,1.1991935770056443
278,25,4.BIFXML,25,158,17.3176794579922,22,107,1.4691900509933475
279,25,6.BIFXML,25,158,10.612681416008854,24,127,4.0894709449930815
