,size,filename,nodes_before_prune,edges_before_prune,time_before_prune,nodes_after_prune,edges_after_prune,time_after_prune
177,24,8.BIFXML,24,138,8.02523819799535,22,105,2.028598354998394
178,24,4.BIFXML,24,148,10.87993260800431,22,103,2.3826223939977353
179,24,6.BIFXML,24,136,7.643674794991966,23,104,3.2861052270018263
180,23,3.BIFXML,23,129,3.900905293005053,23,113,3.4337428830040153
181,23,1.BIFXML,23,135,5.939952878994518,22,108,2.9092146699986188
182,23,9.BIFXML,23,144,5.432581528992159,22,107,2.3486060020077275
183,23,5.BIFXML,23,121,3.913155251997523,21,85,1.026447473996086
184,23,7.BIFXML,23,140,5.891185991989914,20,88,0.6067552099993918
185,23,2.BIFXML,23,131,5.71550990799733,20,79,0.6072073039977113
186,23,0.BIFXML,23,121,5.464136891998351,23,108,3.6489073109987658
187,23,8.BIFXML,23,110,3.9171661189902807,23,98,3.3940086329967016
188,23,4.BIFXML,23,120,3.797166205011308,21,67,0.8652829869970446
189,23,6.BIFXML,23,128,4.382445547002135,21,97,1.178452603999176
190,4,3.BIFXML,4,1,0.025504971999907866,2,0,0.0077051109983585775
191,4,1.BIFXML,4,3,0.027425521999248303,2,0,0.007849265995901078
192,4,9.BIFXML,4,2,0.023475470996345393,2,0,0.009564817999489605
193,4,5.BIFXML,4,2,0.024217600002884865,3,2,0.014594371998100542
194,4,7.BIFXML,4,3,0.023691320995567366,4,3,0.022820619997219183
195,4,2.BIFXML,4,5,0.020485521003138274,3,2,0.014658874002634548
196,4,0.BIFXML,4,4,0.023330594995059073,4,4,0.021315418009180576
197,4,8.BIFXML,4,4,0.022094271989772096,3,2,0.01370436599245295
198,4,4.BIFXML,4,2,0.022017556009814143,3,1,0.016056883003329858
199,4,6.BIFXML,4,2,0.022364404998370446,2,0,0.009542407002300024
200,15,3.BIFXML,15,52,0.18301626799802762,14,41,0.1348696899949573
201,15,1.BIFXML,15,58,0.18712488499295432,15,51,0.15918544799205847
202,15,9.BIFXML,15,53,0.16796547200647183,14,32,0.11504288599826396
203,15,5.BIFXML,15,54,0.16557752000517212,15,44,0.1451287020026939
204,15,7.BIFXML,15,60,0.17935561599733774,13,31,0.10290883599373046
205,15,2.BIFXML,15,57,0.18335843601380475,14,35,0.11420066600840073
206,15,0.BIFXML,15,53,0.15249227700405754,14,38,0.1171285180025734
207,15,8.BIFXML,15,44,0.1634078339993721,13,29,0.10597509999934118
208,15,4.BIFXML,15,47,0.16223676200024784,13,22,0.10223745400435291
209,15,6.BIFXML,15,60,0.182076415992924,13,38,0.10662770998897031
210,3,3.BIFXML,3,2,0.019353458992554806,2,0,0.007754099991871044
211,3,1.BIFXML,3,2,0.01820401799341198,3,1,0.013516920007532462
212,3,9.BIFXML,3,1,0.017934642994077876,2,0,0.007929198996862397
213,3,5.BIFXML,3,1,0.017763904004823416,2,0,0.008080646002781577
214,3,7.BIFXML,3,1,0.017918624987942167,2,1,0.008033656995394267
215,3,2.BIFXML,3,0,0.020912457999656908,2,0,0.009336374001577497
216,3,0.BIFXML,3,1,0.017282404005527496,2,1,0.006800467992434278
217,3,8.BIFXML,3,2,0.018193719995906577,2,1,0.0072173219959950075
218,3,4.BIFXML,3,1,0.01906150700233411,2,1,0.007052822009427473
219,3,6.BIFXML,3,1,0.018419984000502154,3,1,0.016070914003648795
220,12,3.BIFXML,12,35,0.10384983199764974,8,14,0.052751786992303096
221,12,1.BIFXML,12,33,0.11201433400856331,11,20,0.07823089498560876
222,12,9.BIFXML,12,34,0.11112177799805067,11,21,0.07598613300069701
223,12,5.BIFXML,12,37,0.10719974699895829,10,20,0.07058776999474503
224,12,7.BIFXML,12,37,0.11316180099674966,10,23,0.07665826799347997
225,12,2.BIFXML,12,33,0.1094721639965428,11,25,0.07786157399823423
226,12,0.BIFXML,12,22,0.0940769070002716,12,19,0.08557675399060827
227,12,8.BIFXML,12,33,0.10955815600755159,7,8,0.03922178299399093
228,12,4.BIFXML,12,36,0.1040552139893407,11,24,0.07979436899768189
229,12,6.BIFXML,12,29,0.1045321569981752,11,23,0.08038276399020106
230,13,3.BIFXML,13,41,0.12406271399231628,12,31,0.0924600700091105
231,13,1.BIFXML,13,31,0.10917489000712521,11,21,0.07643280000775121
232,13,9.BIFXML,13,43,0.1375428949977504,8,13,0.050045672003761865
233,13,5.BIFXML,13,35,0.1171823199983919,11,20,0.08045083298929967
234,13,7.BIFXML,13,41,0.12034868699265644,11,25,0.0820055279909866
235,13,2.BIFXML,13,37,0.11921067799266893,13,30,0.10871754300023895
236,13,0.BIFXML,13,33,0.11283540600561537,13,32,0.10588561400072649
237,13,8.BIFXML,13,40,0.12394141699769534,11,23,0.08468068799993489
238,13,4.BIFXML,13,34,0.12852958300209139,11,18,0.07658801600337029
239,13,6.BIFXML,13,34,0.1309540950023802,11,19,0.07965986500494182
240,5,3.BIFXML,5,5,0.03432557400083169,5,3,0.029106154004693963
241,5,1.BIFXML,5,4,0.0289804939966416,2,0,0.009987083001760766
242,5,9.BIFXML,5,3,0.033350223005982116,4,3,0.01972123800078407
243,5,5.BIFXML,5,4,0.02772361099778209,4,3,0.02062038698932156
244,5,7.BIFXML,5,7,0.030009237001650035,3,2,0.01631468399136793
245,5,2.BIFXML,5,7,0.030940277996705845,3,1,0.014665118011180311
246,5,0.BIFXML,5,4,0.031069101998582482,4,2,0.02071560600597877
247,5,8.BIFXML,5,6,0.030191921003279276,5,6,0.026505387999350205
248,5,4.BIFXML,5,4,0.030854187993099913,2,0,0.007762713998090476
249,5,6.BIFXML,5,6,0.03185649900115095,2,0,0.0077324619924183935
250,14,3.BIFXML,14,49,0.15219780200277455,11,26,0.08437104399490636
251,14,1.BIFXML,14,41,0.14232893999724183,13,29,0.10949312700540759
252,14,9.BIFXML,14,49,0.14798640100343619,12,31,0.0972620510001434
253,14,5.BIFXML,14,51,0.15922616299940273,11,24,0.07959580600436311
254,14,7.BIFXML,14,33,0.13332264201017097,11,21,0.07607613499567378
255,14,2.BIFXML,14,48,0.16498055000556633,11,23,0.07897057400259655
256,14,0.BIFXML,14,38,0.14184280799236149,8,5,0.04928396799368784
257,14,8.BIFXML,14,44,0.17691580799873918,13,30,0.11549542399006896
258,14,4.BIFXML,14,33,0.13345445100276265,11,20,0.07770234800409526
259,14,6.BIFXML,14,53,0.18664936799905263,13,39,0.12689848100126255
260,22,3.BIFXML,22,109,2.6072041590086883,21,84,1.1537126480106963
261,22,1.BIFXML,22,109,2.312470723001752,22,81,1.7841130189917749
262,22,9.BIFXML,22,114,3.868159456003923,17,62,0.19758219299546909
263,22,5.BIFXML,22,117,2.1002503039926523,18,62,0.28405682399170473
264,22,7.BIFXML,22,123,3.090805776999332,21,98,1.1223536750039784
265,22,2.BIFXML,22,125,2.3770649789948948,18,74,0.301453099003993
266,22,0.BIFXML,22,113,2.429902508010855,21,90,1.0252690570050618
267,22,8.BIFXML,22,132,2.4744372940040193,22,108,1.9662410259916214
268,22,4.BIFXML,22,106,3.1906749449990457,22,94,2.0542601240013028
269,22,6.BIFXML,22,97,1.9187216459977208,21,70,0.8408710869989591
270,25,3.BIFXML,25,153,8.865417157998309,23,94,2.004442122997716
271,25,1.BIFXML,25,166,16.249707326001953,24,116,4.041823958992609
272,25,9.BIFXML,25,151,10.116135636999388,24,115,3.773030327007291
273,25,5.BIFXML,25,163,8.923782425990794,24,109,3.403200721993926
274,25,7.BIFXML,25,146,8.38810300899786,23,106,2.057158690004144
275,25,2.BIFXML,25,152,10.250672533002216,23,106,2.3116861210000934
276,25,0.BIFXML,25,153,10.92970940899977,23,104,2.3447323000000324
277,25,8.BIFXML,25,148,7.828716694988543,24,110,3.5909539889980806
278,25,4.BIFXML,25,158,16.0590571359935,25,118,7.826817548004328
279,25,6.BIFXML,25,158,10.945374115995946,25,123,8.055681170997559
